"playerId","player","team","bye","exp","age","position","dataScrapeId","dstBlk","dstFumlRec","dstInt","dstPtsAllow","dstRetTd","dstSack","dstSafety","dstTd","fg","fg0019","fg2029","fg3039","fg4049","fg50","fgAtt","fgMiss","fumbles","games","idpAst","idpFumlForce","idpFumlRec","idpInt","idpPD","idpSack","idpSolo","idpTFL","idpTd","pass300","pass350","pass40","pass400","passAtt","passComp","passCompPct","passInc","passInt","passTds","passYds","rec","rec100","rec150","rec200","rec40","recTds","recYds","returnTds","returnYds","rush100","rush150","rush200","rush40","rushAtt","rushTds","rushYds","sacks","twoPts","xp"
184,"Donnie Avery","FA",NA,9,33,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,"Andre Caldwell","FA",NA,9,32,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,"Glenn Dorsey","FA",NA,9,32,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,"Harry Douglas","TEN",8,9,33,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148733233979136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69093546047861,0.5,0.2,0.1,NA,0.483313817330211,192.378161592506,NA,106.9,NA,NA,NA,NA,0,0,0,NA,NA,NA
230,"Jerome Felton","FA",NA,9,31,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,0,28,NA,NA,NA,NA,NA,NA,2,0,6,NA,NA,NA
234,"Matt Forte","NYJ",11,9,32,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49124649859944,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3454022988506,NA,NA,NA,NA,1.16658629154056,239.590194455937,NA,0,1.6,0.5,0.2,NA,143.46209186497,3.61702976141765,614.734298717418,NA,NA,NA
252,"Chad Henne","JAC",8,9,32,"QB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93412816691505,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,1,NA,0.4,189.089540675152,111.005921416713,58.3568321527393,78.0836192584394,5.48583287216381,7.21599335915883,1067.37551498127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9526286662977,0.507747648035418,76.9923076923077,32.1,NA,NA
262,"Chris Johnson","FA",NA,9,32,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,0,86.3,NA,27,1,0.3,0.1,NA,119.8,2.3,480.7,NA,NA,NA
270,"Kendall Langford","IND",11,9,31,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.05280289330922,0,0,0,1.33580470162749,2.23417721518987,14.3041591320072,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,"Chris Long","PHI",10,9,32,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,5.45614828209765,0.266094032549729,0.118264014466546,0,1.24710669077758,2.7125678119349,12.1162748643761,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,"Dwight Lowery","FA",NA,9,31,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11.7,1,0.404814305364512,1.44979367262724,8.15983493810179,0,51.1039889958735,2,0.089958734525447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,"Darren McFadden","DAL",6,9,30,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.871918767507,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4080938697318,NA,NA,NA,NA,0.249143071551991,174.695986760447,NA,0,4.4,0.6,0.2,NA,136.689374654123,3.92639191832828,602.832643773273,NA,NA,NA
306,"Dominique Rodgers-Cromartie","NYG",8,9,31,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3.85958408679928,0.579204339963834,0.342676311030741,2.00370705244123,8.34538878842676,0.325226039783002,22.6064195298373,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,"Matt Ryan","ATL",5,9,32,"QB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1618,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,3,NA,0.9,555.500498063088,375.606474820144,67.6217728278915,179.894023242944,10.654033926355,32.414398014067,4485.38287132809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8304371887106,0.425279271824576,100.298220935043,36.1,NA,NA
324,"Jacob Tamme","FA",NA,9,32,"TE",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0321195144724557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.12175536881419,0.3,0.1,0,0,0.780765639589169,96.9917833800187,0,0,NA,NA,NA,0,0,0,0,NA,0,NA
330,"Philip Wheeler","ARI",8,9,33,"LB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,"Matt Flynn","NO",5,9,32,"QB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
382,"Joe Flacco","BAL",10,9,32,"QB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1635,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1.1,NA,0.5,617.122578859989,395.230105146652,64.0439318206973,221.892473713337,15.5632602399669,21.6492759619363,3920.11630119983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1059214167128,1.76772030651341,51.8831609433182,37,1,NA
744,"Calais Campbell","JAC",8,9,31,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,17.6164556962025,1.65732368896926,0.933996383363472,0.431374321880651,3.07341772151899,7.26057866184448,36.7466546112116,7.9,0.089958734525447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
754,"Brandon Flowers","FA",NA,9,31,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
768,"Steve Johnson","FA",NA,9,31,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
786,"Pat Sims","CIN",6,9,32,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,9.13081155433287,0,0,0,0.449793672627235,0.629711141678129,6.29711141678129,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
925,"Jamaal Charles","DEN",5,9,31,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46080476900149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7117469879518,NA,NA,NA,NA,0.710446567692034,194.905630970337,NA,0,1.3,0.4,0.2,NA,110.102610587382,3.19686209031233,482.504474610357,NA,NA,NA
927,"Justin Forsett","FA",NA,9,32,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
949,"Jonathan Stewart","CAR",11,9,30,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29208683473389,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2022030651341,NA,NA,NA,NA,0.666816891067025,90.5063301613571,NA,0,1.8,0.6,0.2,NA,188.136745987825,6.35522810568972,803.918783616053,NA,NA,NA
1032,"Jordy Nelson","GB",8,9,32,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.974886260236579,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.8806513409962,2.2,0.7,0.129933774834437,NA,10.5564521808815,1203.07203144394,NA,14.3,NA,NA,NA,NA,0,0.324343508491577,9.05228981544771,NA,NA,NA
1060,"Gary Barnidge","FA",NA,9,32,"TE",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,NA
1062,"Martellus Bennett","GB",8,9,30,"TE",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.449633088725817,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.3608118971061,1.4,0.5,0.0866225165562914,0,6.03819666311679,682.027050053248,0,0,NA,NA,NA,0,0,0,1.39100937672366,NA,1.1,NA
1298,"Leodis McKelvin","FA",NA,9,32,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302,"Aqib Talib","DEN",5,9,31,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,7.52694394213381,0.401808318264014,0,2.9878842676311,12.1687160940325,0,34.9667269439421,0,0.089958734525447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1330,"Cliff Avril","SEA",6,9,31,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14.4239602169982,3.39095840867993,0.549638336347197,0,3.51057866184448,10.4569620253165,26.7359855334539,4.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1332,"Wallace Gilberry","FA",NA,9,33,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3.28349381017882,0,0,0,0,0.674690508940853,4.72283356258597,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1344,"Ahtyba Rubin","FA",NA,9,31,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,9.04085281980743,0.494773039889959,0.134938101788171,0,0.809628610729023,1.75419532324622,11.8295735900963,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1581,"DeSean Jackson","TB",11,9,31,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125204731574158,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8717911877395,1.7,0.6,0.0866225165562914,NA,4.81199834505585,880.9534133223,NA,25.4,NA,NA,NA,NA,0.376760563380282,0,2.01756664388243,NA,NA,NA
1681,"Tyvon Branch","ARI",8,9,31,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3.50839064649243,0,0,0.944566712517194,3.8232462173315,0.449793672627235,24.243878954608,0,0.0449793672627235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
